ticket,symbol,side,opened_utc,closed_utc,minutes,tactic,regime,score,tier,net_money,commission,realised_r,mfe_r,mae_r,exit_reason,final_state
1957245207,US500,SELL,2026-09-23T14:09:39+00:00,2026-09-23T14:21:46.420365+00:00,12.1,MOMENTUM_CONTINUATION,HIGH_VOL,86.5,EXCEPTIONAL,10.0,0.0,2.2819,2.2819,0.2908,[tp 7719.56],STRONG_FLOW
1957321396,US500,SELL,2026-09-23T14:22:23+00:00,2026-09-23T14:30:18.809447+00:00,7.9,MOMENTUM_CONTINUATION,HIGH_VOL,90.0,EXCEPTIONAL,-10.79,0.0,-1.0659,0.4845,1.0659,[sl 7721.26],INITIAL
1957337826,USDJPY,BUY,2026-09-23T14:25:37+00:00,2026-09-23T14:51:47.965285+00:00,26.2,TREND_PULLBACK,TREND,74.2,STRONG,-7.59,-0.94,-0.9762,0.5119,1.0714,[sl 158.237],PROVING
1957428860,EURAUD,BUY,2026-09-23T14:44:22+00:00,2026-09-23T15:41:43.686828+00:00,57.3,TREND_PULLBACK,TREND,60.1,NORMAL,3.9,-0.56,1.1351,1.1351,0.7297,[tp 1.61866],NORMAL_FLOW
1957470011,GBPUSD,SELL,2026-09-23T14:53:46+00:00,2026-09-23T15:25:09.575964+00:00,31.4,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,61.8,NORMAL,2.26,-0.38,0.7353,1.0735,0.5882,[sl 1.32588],DECAY
1957539621,EURJPY,BUY,2026-09-23T15:09:48+00:00,2026-09-23T16:15:45.235606+00:00,65.9,BREAKOUT_RETEST,TREND,78.0,STRONG,-4.32,-0.6,-1.0143,0.3571,1.0143,[sl 180.328],REVERSAL
1957690402,US500,SELL,2026-09-23T15:51:44+00:00,2026-09-23T15:55:45.503684+00:00,4.0,BREAKOUT_RETEST,SQUEEZE,63.7,NORMAL,-4.41,0.0,-1.0046,0.0,1.0046,[sl 7718.57],INITIAL
1957791249,GBPCAD,SELL,2026-09-23T16:30:25+00:00,2026-09-23T17:01:15.025759+00:00,30.8,BREAKOUT_RETEST,TREND,73.4,STRONG,11.8,-0.82,2.0128,2.0128,0.2564,[tp 1.86588],STRONG_FLOW
1957801951,GBPUSD,SELL,2026-09-23T16:34:42+00:00,2026-09-23T16:53:05.728739+00:00,18.4,BREAKOUT_RETEST,TREND,72.6,STRONG,12.94,-0.72,2.1061,2.1061,0.8182,[tp 1.32314],STRONG_FLOW
1957851542,EURUSD,SELL,2026-09-23T16:51:16+00:00,2026-09-23T17:06:24.016909+00:00,15.1,BREAKOUT_RETEST,TREND,71.5,STRONG,12.43,-0.88,2.0755,2.0755,0.0377,[tp 1.13706],STRONG_FLOW
1957926863,USDCHF,BUY,2026-09-23T17:09:35+00:00,2026-09-23T17:23:28.629640+00:00,13.9,BREAKOUT_RETEST,TREND,64.1,NORMAL,-4.37,-0.5,-0.9792,0.1667,0.9792,[sl 0.82508],INITIAL
1957967044,GBPUSD,SELL,2026-09-23T17:21:41+00:00,2026-09-23T17:30:13.736555+00:00,8.5,TREND_PULLBACK,TREND,62.1,NORMAL,-5.33,-0.5,-1.0923,0.1692,1.0923,[sl 1.32384],INITIAL
1957986608,UK100,SELL,2026-09-23T17:29:11+00:00,2026-09-23T17:42:48.454207+00:00,13.6,BREAKOUT_RETEST,TREND,63.1,NORMAL,-4.2,0.0,-1.0194,0.4078,1.0194,[sl 10688.10],REVERSAL
1957991154,EURUSD,SELL,2026-09-23T17:30:35+00:00,2026-09-23T17:41:52.840903+00:00,11.3,TREND_PULLBACK,TREND,60.2,NORMAL,-5.01,-0.66,-1.0909,0.6364,1.0909,[sl 1.13797],PROVING
1958042087,USDJPY,SELL,2026-09-23T17:43:48+00:00,2026-09-23T17:47:20.588667+00:00,3.5,FAILED_BREAKOUT_RECLAIM,HIGH_VOL,73.6,STRONG,-8.29,-1.04,-1.0811,0.3108,1.0811,[sl 158.207],INITIAL
1958083127,USDCHF,BUY,2026-09-23T17:55:05+00:00,2026-09-23T18:17:29.048045+00:00,22.4,BREAKOUT_RETEST,SQUEEZE,61.0,NORMAL,3.43,-0.6,0.9524,1.2143,0.3095,[sl 0.82420],DECAY
