ticket,symbol,side,opened_utc,closed_utc,minutes,tactic,regime,score,tier,net_money,commission,realised_r,mfe_r,mae_r,exit_reason,final_state
1941853964,XAUJPY,BUY,2026-09-18T00:12:59+00:00,2026-09-18T00:30:52.273211+00:00,17.9,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,68.1,NORMAL,4.05,-0.06,1.2864,1.2864,0.4813,[tp 680887],NORMAL_FLOW
1941876214,GBPNZD,BUY,2026-09-18T00:24:25+00:00,2026-09-18T01:04:13.151775+00:00,39.8,SESSION_EXPANSION,TREND,62.8,NORMAL,7.28,-0.5,1.9804,1.9804,0.2647,[tp 2.33542],NORMAL_FLOW
1941956343,XAUJPY,BUY,2026-09-18T01:07:01+00:00,2026-09-18T01:08:42.785402+00:00,1.7,MOMENTUM_CONTINUATION,TREND,70.9,STRONG,-2.87,-0.06,-1.0034,0.0735,1.0034,[sl 681526],INITIAL
1941998706,GBPJPY,BUY,2026-09-18T01:27:52+00:00,2026-09-18T02:26:54.604554+00:00,59.0,BREAKOUT_RETEST,TREND,61.9,NORMAL,-5.02,-0.56,-1.0,0.8065,1.0,[sl 208.642],REVERSAL
1942149876,USDJPY,BUY,2026-09-18T02:54:33+00:00,2026-09-18T02:55:25.622898+00:00,0.8,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,66.3,NORMAL,8.47,-0.56,2.4868,2.4868,0.4342,[tp 156.745],NORMAL_FLOW
1942176722,AUDJPY,BUY,2026-09-18T03:01:19+00:00,2026-09-18T03:05:46.555709+00:00,4.4,MOMENTUM_CONTINUATION,NEWS,74.2,STRONG,11.96,-0.94,2.2394,2.2394,0.4085,[tp 111.654],STRONG_FLOW
1942192078,GBPJPY,BUY,2026-09-18T03:07:19+00:00,2026-09-18T03:23:01.636437+00:00,15.7,MOMENTUM_CONTINUATION,NEWS,73.4,STRONG,12.97,-0.56,2.1679,2.1679,0.0763,[tp 209.839],STRONG_FLOW
1942194759,CADJPY,BUY,2026-09-18T03:08:46+00:00,2026-09-18T03:41:12.025398+00:00,32.4,MOMENTUM_CONTINUATION,NEWS,81.2,STRONG,8.54,-0.66,2.3333,2.3333,0.4638,[tp 112.353],STRONG_FLOW
1942198268,XAUAUD,SELL,2026-09-18T03:09:56+00:00,2026-09-18T03:23:42.347515+00:00,13.8,BREAKOUT_RETEST,TREND,75.1,STRONG,8.8,-0.06,1.9739,1.9905,0.1781,[tp 6083.70],STRONG_FLOW
1942200095,USDJPY,BUY,2026-09-18T03:11:06+00:00,2026-09-18T03:33:00.897171+00:00,21.9,MOMENTUM_CONTINUATION,NEWS,73.5,STRONG,-0.84,-0.72,-0.0194,1.5437,0.4854,[sl 156.900],STRONG_FLOW
1942201922,AUDJPY,BUY,2026-09-18T03:12:07+00:00,2026-09-18T03:38:17.387516+00:00,26.2,MOMENTUM_CONTINUATION,NEWS,87.2,EXCEPTIONAL,6.34,-0.44,2.1975,2.1975,0.4074,[tp 111.986],STRONG_FLOW
1942254598,XAUGBP,SELL,2026-09-18T03:30:30+00:00,2026-09-18T03:34:53.616622+00:00,4.3,SESSION_EXPANSION,TREND,60.4,NORMAL,-4.89,-0.06,-1.0805,0.0022,1.0805,[sl 3253.00],INITIAL
1942289432,AUDJPY,BUY,2026-09-18T03:43:43+00:00,2026-09-18T04:10:23.331500+00:00,26.7,MOMENTUM_CONTINUATION,TREND,83.1,EXCEPTIONAL,-5.11,-0.6,-1.0,0.2442,1.0,[sl 111.981],INITIAL
1942308843,GBPNZD,BUY,2026-09-18T03:55:35+00:00,2026-09-18T03:59:51.080169+00:00,4.3,BREAKOUT_RETEST,TREND,64.2,NORMAL,-4.84,-0.6,-1.0112,0.0674,1.0112,[sl 2.33230],REVERSAL
1942332685,CADJPY,BUY,2026-09-18T04:11:56+00:00,2026-09-18T04:18:05.843989+00:00,6.1,MOMENTUM_CONTINUATION,TREND,73.1,STRONG,-5.37,-0.72,-1.0417,0.4861,1.0417,[sl 112.264],INITIAL
1942346505,NZDJPY,BUY,2026-09-18T04:18:08+00:00,2026-09-18T05:42:47.785181+00:00,84.6,MOMENTUM_CONTINUATION,TREND,72.6,STRONG,-4.69,-0.6,-1.0,0.5769,1.0,[sl 89.984],REVERSAL
1942399951,CADJPY,BUY,2026-09-18T04:51:03+00:00,2026-09-18T05:36:57.138148+00:00,45.9,TREND_PULLBACK,TREND,70.3,STRONG,0.14,-1.04,0.1711,1.1053,0.9211,[sl 112.438],NORMAL_FLOW
1942401945,GBPJPY,BUY,2026-09-18T04:52:08+00:00,2026-09-18T04:54:20.114279+00:00,2.2,TREND_PULLBACK,TREND,67.3,NORMAL,-4.61,-0.38,-1.0079,0.0556,1.0079,[sl 209.988],INITIAL
1942523931,XAUCHF,BUY,2026-09-18T05:44:42+00:00,2026-09-18T06:09:43.100169+00:00,25.0,BREAKOUT_RETEST,TREND,74.1,STRONG,9.08,-0.06,2.0343,2.0343,0.9475,[tp 3616.71],STRONG_FLOW
1942576442,XAUJPY,BUY,2026-09-18T06:01:13+00:00,2026-09-18T06:43:06.995608+00:00,41.9,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,72.7,STRONG,0.97,-0.06,0.231,2.2727,0.7294,[sl 689672],STRONG_FLOW
1942624687,XAUCHF,BUY,2026-09-18T06:19:45+00:00,2026-09-18T07:35:49.071298+00:00,76.0,MOMENTUM_CONTINUATION,TREND,70.4,STRONG,10.3,-0.06,2.5548,2.5548,0.2371,[tp 3627.30],NORMAL_FLOW
1942661287,DE40,BUY,2026-09-18T06:36:06+00:00,2026-09-18T06:37:29.938961+00:00,1.4,BREAKOUT_RETEST,TREND,61.2,NORMAL,-4.71,0.0,-1.0754,0.1177,1.0754,[sl 25671.76],INITIAL
1942676403,AUDJPY,SELL,2026-09-18T06:43:04+00:00,2026-09-18T06:44:09.696448+00:00,1.1,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,68.1,NORMAL,8.84,-0.56,2.2907,2.2907,0.7907,[tp 111.623],NORMAL_FLOW
1942679005,CADJPY,SELL,2026-09-18T06:44:09+00:00,2026-09-18T06:45:00.072505+00:00,0.8,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,67.4,NORMAL,-5.22,-0.5,-1.068,0.7961,1.0874,[sl 112.036],PROVING
1942686869,USDJPY,SELL,2026-09-18T06:47:17+00:00,2026-09-18T06:50:46.259167+00:00,3.5,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,60.1,NORMAL,-4.89,-0.34,-1.0127,0.2803,1.0127,[sl 156.840],INITIAL
