ticket,symbol,side,opened_utc,closed_utc,minutes,tactic,regime,score,tier,net_money,commission,realised_r,mfe_r,mae_r,exit_reason,final_state
1958788307,US30,SELL,2026-09-24T00:12:08+00:00,2026-09-24T01:45:13.268660+00:00,93.1,BREAKOUT_RETEST,TREND,62.0,NORMAL,9.64,0.0,2.9172,2.9172,0.7865,[tp 51404.13],STRONG_FLOW
1958911253,XAUEUR,BUY,2026-09-24T00:57:09+00:00,2026-09-24T01:00:12.408763+00:00,3.0,BREAKOUT_RETEST,TREND,60.2,NORMAL,-2.94,-0.06,-0.9079,0.0,0.9079,[sl 3776.35],INITIAL
1958915345,EURJPY,SELL,2026-09-24T00:59:01+00:00,2026-09-24T01:52:43.109975+00:00,53.7,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,69.1,NORMAL,2.09,-0.44,0.6535,2.0891,0.5743,[sl 179.750],NORMAL_FLOW
1958932643,AUDJPY,SELL,2026-09-24T01:02:52+00:00,2026-09-24T01:30:07.783268+00:00,27.2,BREAKOUT_RETEST,TREND,76.3,STRONG,8.51,-0.6,2.1625,2.1625,0.4375,[tp 110.993],NORMAL_FLOW
1958942815,CHFJPY,SELL,2026-09-24T01:04:54+00:00,2026-09-24T01:26:56.411250+00:00,22.0,SESSION_EXPANSION,TREND,64.3,NORMAL,7.39,-0.38,1.9829,1.9829,0.2393,[tp 191.374],STRONG_FLOW
1959029442,AUDJPY,SELL,2026-09-24T01:32:30+00:00,2026-09-24T01:34:26.216435+00:00,1.9,MOMENTUM_CONTINUATION,NEWS,81.1,STRONG,-5.08,-0.66,-1.0132,0.0,1.0132,[sl 111.015],INITIAL
1959077821,DE40,SELL,2026-09-24T01:47:08+00:00,2026-09-24T02:00:38.306345+00:00,13.5,BREAKOUT_RETEST,TREND,72.1,STRONG,-6.66,0.0,-1.0071,0.9747,1.0071,[sl 25329.09],PROVING
1959116910,AUDUSD,SELL,2026-09-24T01:58:14+00:00,2026-09-24T02:25:11.920281+00:00,26.9,BREAKOUT_RETEST,TREND,73.6,STRONG,-2.33,-1.04,-0.2,1.4444,0.2222,[sl 0.70243],NORMAL_FLOW
1959155468,GBPAUD,BUY,2026-09-24T02:07:00+00:00,2026-09-24T02:24:41.832750+00:00,17.7,BREAKOUT_RETEST,TREND,69.2,NORMAL,-4.92,-0.6,-1.0,0.4054,1.0,[sl 1.88350],INITIAL
1959444031,XAUJPY,SELL,2026-09-24T03:52:35+00:00,2026-09-24T04:00:20.034620+00:00,7.7,BREAKOUT_RETEST,SQUEEZE,62.1,NORMAL,-3.37,-0.06,-0.9986,0.0072,0.9986,[sl 677427],INITIAL
1959754918,USDJPY,SELL,2026-09-24T05:49:14+00:00,2026-09-24T06:16:18.938468+00:00,27.0,BREAKOUT_ACCEPTANCE,TREND,60.8,NORMAL,-4.81,-0.72,-1.0,0.8333,1.0,[sl 158.287],REVERSAL
1959857855,CHFJPY,BUY,2026-09-24T06:17:15+00:00,2026-09-24T07:18:05.844281+00:00,60.8,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,76.6,STRONG,8.07,-0.56,2.0111,2.0111,0.7222,[tp 192.423],NORMAL_FLOW
1959904690,US30,SELL,2026-09-24T06:32:33+00:00,2026-09-24T06:41:01.810311+00:00,8.5,BREAKOUT_RETEST,TREND,65.2,NORMAL,-0.63,0.0,-0.1579,1.2406,0.1579,[sl 51349.02],STRONG_FLOW
1959936438,EURJPY,BUY,2026-09-24T06:41:34+00:00,2026-09-24T06:45:58.424365+00:00,4.4,BREAKOUT_RETEST,TREND,61.6,NORMAL,-4.58,-0.6,-1.0,0.0,1.0,[sl 180.374],INITIAL
1959955611,XAUEUR,SELL,2026-09-24T06:47:09+00:00,2026-09-24T07:04:39.344173+00:00,17.5,BREAKOUT_RETEST,TREND,69.8,NORMAL,-3.47,-0.06,-1.0025,0.048,1.0025,[sl 3758.58],INITIAL
1959958303,XAUCHF,SELL,2026-09-24T06:48:14+00:00,2026-09-24T07:05:31.484152+00:00,17.3,BREAKOUT_RETEST,TREND,64.5,NORMAL,-3.88,-0.06,-1.0271,0.0961,1.0271,[sl 3527.34],INITIAL
1959973698,USDJPY,BUY,2026-09-24T06:55:06+00:00,2026-09-24T07:11:44.747301+00:00,16.6,BREAKOUT_RETEST,TREND,66.0,NORMAL,-5.07,-0.66,-1.0267,0.2933,1.0267,[sl 158.358],INITIAL
1960107614,GBPCHF,BUY,2026-09-24T07:33:06+00:00,2026-09-24T07:34:27.724723+00:00,1.3,MOMENTUM_CONTINUATION,NEWS,73.2,STRONG,-7.25,-0.66,-0.9836,0.1967,0.9836,[sl 1.09323],INITIAL
1960124048,EURCHF,BUY,2026-09-24T07:37:33+00:00,2026-09-24T07:45:41.960925+00:00,8.1,MOMENTUM_CONTINUATION,NEWS,70.2,STRONG,13.05,-0.6,2.3051,2.3051,0.9661,[tp 0.94243],STRONG_FLOW
1960136683,CADCHF,BUY,2026-09-24T07:41:48+00:00,2026-09-24T07:56:33.904849+00:00,14.8,MOMENTUM_CONTINUATION,NEWS,74.2,STRONG,12.95,-1.0,2.2973,2.2973,0.3243,[tp 0.58696],STRONG_FLOW
1960141291,AUDCHF,BUY,2026-09-24T07:42:58+00:00,2026-09-24T08:05:49.245854+00:00,22.8,MOMENTUM_CONTINUATION,NEWS,91.1,EXCEPTIONAL,-1.61,-1.38,-0.0256,1.7179,0.3077,[sl 0.58220],STRONG_FLOW
1960150862,CHFJPY,SELL,2026-09-24T07:45:38+00:00,2026-09-24T08:05:50.252442+00:00,20.2,BREAKOUT_RETEST,TREND,67.0,NORMAL,-3.85,-0.22,-1.016,0.8021,1.016,[sl 191.399],PROVING
1960229460,GBPCHF,BUY,2026-09-24T08:04:58+00:00,2026-09-24T08:15:47.912239+00:00,10.8,BREAKOUT_RETEST,TREND,60.4,NORMAL,-4.53,-0.28,-1.1341,0.3415,1.1341,[sl 1.09485],INITIAL
1960254691,GBPJPY,BUY,2026-09-24T08:11:54+00:00,2026-09-24T08:35:00.647056+00:00,23.1,BREAKOUT_RETEST,TREND,61.8,NORMAL,2.66,-0.38,0.7845,1.0431,0.2069,[sl 209.763],DECAY
1960297930,XAUGBP,SELL,2026-09-24T08:18:18+00:00,2026-09-24T09:11:33.242734+00:00,53.2,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,61.8,NORMAL,0.36,-0.06,0.1012,1.4506,0.8723,[sl 3222.77],NORMAL_FLOW
1960305007,NZDCHF,BUY,2026-09-24T08:19:38+00:00,2026-09-24T08:36:29.049844+00:00,16.8,MOMENTUM_CONTINUATION,HIGH_VOL,75.1,STRONG,-0.67,-1.0,0.0513,1.4359,0.4615,[sl 0.46918],NORMAL_FLOW
1960348848,CADCHF,BUY,2026-09-24T08:28:59+00:00,2026-09-24T08:33:31.265618+00:00,4.5,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,81.0,STRONG,-4.69,-0.5,-0.9808,0.0385,0.9808,[sl 0.58660],INITIAL
1960375775,US500,SELL,2026-09-24T08:33:25+00:00,2026-09-24T08:34:49.872908+00:00,1.4,BREAKOUT_RETEST,HIGH_VOL,63.1,NORMAL,5.3,0.0,1.3929,1.3929,0.125,[tp 7658.27],NORMAL_FLOW
1960425140,US500,SELL,2026-09-24T08:46:53+00:00,2026-09-24T08:54:34.547480+00:00,7.7,SESSION_EXPANSION,TREND,65.9,NORMAL,3.33,0.0,0.8514,0.9133,0.0774,[tp 7657.24],PROVING
1960441142,DE40,SELL,2026-09-24T08:51:59+00:00,2026-09-24T09:07:09.211720+00:00,15.2,SESSION_EXPANSION,TREND,71.4,STRONG,-4.43,0.0,-0.9855,0.6315,0.9855,[sl 25277.36],REVERSAL
1960518198,US500,SELL,2026-09-24T09:08:15+00:00,2026-09-24T09:31:11.538359+00:00,23.0,SESSION_EXPANSION,TREND,67.9,NORMAL,4.22,0.0,-0.2375,1.0152,0.3384,broker stop or target,NORMAL_FLOW
