ticket,symbol,side,opened_utc,closed_utc,minutes,tactic,regime,score,tier,net_money,commission,realised_r,mfe_r,mae_r,exit_reason,final_state
1963499958,XAUEUR,BUY,2026-09-25T01:11:30+00:00,2026-09-25T01:32:15.321245+00:00,20.7,BREAKOUT_RETEST,TREND,60.2,NORMAL,7.05,-0.06,2.1125,2.1125,0.3299,[tp 3775.08],STRONG_FLOW
1963515361,XAUUSD,BUY,2026-09-25T01:15:43+00:00,2026-09-25T02:37:39.411011+00:00,81.8,BREAKOUT_RETEST,TREND,61.5,NORMAL,-4.15,-0.06,-1.0169,0.9962,1.0188,[sl 4285.25],REVERSAL
1963597630,XAUJPY,BUY,2026-09-25T02:03:01+00:00,2026-09-25T02:06:26.536759+00:00,3.4,BREAKOUT_RETEST,TREND,62.6,NORMAL,-3.24,-0.06,-1.101,0.2666,1.101,[sl 679860],INITIAL
1963609350,USDJPY,SELL,2026-09-25T02:08:10+00:00,2026-09-25T02:11:10.196401+00:00,3.0,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,65.5,NORMAL,-5.69,-0.72,-1.194,0.2687,1.194,[sl 158.441],INITIAL
1963650987,EURNZD,BUY,2026-09-25T02:38:10+00:00,2026-09-25T03:09:48.643290+00:00,31.6,BREAKOUT_RETEST,TREND,78.7,STRONG,-0.89,-0.72,-0.0417,1.7639,0.6667,[sl 2.01152],NORMAL_FLOW
1963755428,CHFJPY,SELL,2026-09-25T03:44:15+00:00,2026-09-25T04:31:39.747423+00:00,47.4,BREAKOUT_RETEST,TREND,60.3,NORMAL,-0.89,-0.66,-0.0556,1.4722,0.4028,[sl 191.033],REVERSAL
1963827948,XAUJPY,SELL,2026-09-25T04:43:22+00:00,2026-09-25T04:57:41.752087+00:00,14.3,SESSION_EXPANSION,TREND,66.8,NORMAL,6.36,-0.06,1.8589,1.8963,0.0982,[tp 675536],NORMAL_FLOW
1963853413,XAUGBP,SELL,2026-09-25T04:57:44+00:00,2026-09-25T05:14:39.676866+00:00,16.9,BREAKOUT_RETEST,TREND,69.2,NORMAL,6.08,-0.06,2.2327,2.24,0.1345,[tp 3221.09],STRONG_FLOW
1963869067,XAUEUR,SELL,2026-09-25T05:02:19+00:00,2026-09-25T05:31:02.371396+00:00,28.7,BREAKOUT_RETEST,TREND,65.1,NORMAL,-3.2,-0.06,-1.0027,1.4341,1.0027,[sl 3751.34],NORMAL_FLOW
1963873157,XAUJPY,SELL,2026-09-25T05:04:21+00:00,2026-09-25T05:10:35.925500+00:00,6.2,BREAKOUT_RETEST,TREND,63.5,NORMAL,3.79,-0.06,1.5132,1.5132,0.4117,[tp 673953],STRONG_FLOW
1963889003,XAUJPY,SELL,2026-09-25T05:10:56+00:00,2026-09-25T05:27:57.988208+00:00,17.0,BREAKOUT_RETEST,TREND,68.9,NORMAL,-3.6,-0.06,-1.0014,0.523,1.0014,[sl 674292],PROVING
1963917052,XAUUSD,SELL,2026-09-25T05:27:24+00:00,2026-09-25T05:31:02.371396+00:00,3.6,SESSION_EXPANSION,TREND,60.6,NORMAL,-3.0,-0.06,-1.0104,0.1094,1.0104,[sl 4266.35],INITIAL
1963921191,XAUGBP,SELL,2026-09-25T05:28:31+00:00,2026-09-25T05:32:06.172011+00:00,3.5,SESSION_EXPANSION,TREND,62.3,NORMAL,-2.78,-0.06,-1.0074,0.3444,1.0074,[sl 3229.77],INITIAL
1963936134,US30,BUY,2026-09-25T05:32:37+00:00,2026-09-25T06:47:05.072614+00:00,74.5,SQUEEZE_RELEASE,SQUEEZE,61.4,NORMAL,6.85,0.0,2.3351,2.3351,0.8351,[tp 51446.89],STRONG_FLOW
1964066194,CHFJPY,SELL,2026-09-25T06:21:48+00:00,2026-09-25T06:27:30.714161+00:00,5.7,BREAKOUT_RETEST,TREND,68.4,NORMAL,-4.91,-0.56,-1.0,0.0,1.0,[sl 190.778],INITIAL
1964098439,DE40,BUY,2026-09-25T06:36:58+00:00,2026-09-25T06:51:06.181161+00:00,14.1,BREAKOUT_RETEST,TREND,64.8,NORMAL,-0.6,0.0,-0.2125,1.0625,0.2125,[sl 25463.70],NORMAL_FLOW
1964106849,USDJPY,SELL,2026-09-25T06:42:55+00:00,2026-09-25T07:01:13.255326+00:00,18.2,BREAKOUT_RETEST,TREND,62.9,NORMAL,-1.23,-0.5,-0.1717,1.1212,0.4141,[sl 158.089],NORMAL_FLOW
1964534502,US30,BUY,2026-09-25T09:34:17+00:00,2026-09-25T09:50:43.922065+00:00,16.4,BREAKOUT_RETEST,TREND,73.2,STRONG,-6.39,0.0,-1.021,0.21,1.021,[sl 51478.48],REVERSAL
1964562849,UK100,BUY,2026-09-25T09:50:10+00:00,2026-09-25T10:07:39.725942+00:00,17.5,BREAKOUT_RETEST,TREND,64.8,NORMAL,-5.1,0.0,-1.0169,0.5085,1.0169,[sl 10709.17],REVERSAL
1964603305,NZDJPY,SELL,2026-09-25T10:07:35+00:00,2026-09-25T11:11:27.125565+00:00,63.9,BREAKOUT_RETEST,TREND,85.9,EXCEPTIONAL,-0.35,-0.72,0.0882,1.1618,0.4265,[sl 89.457],NORMAL_FLOW
1964630697,XAUCHF,BUY,2026-09-25T10:14:23+00:00,2026-09-25T11:20:21.186808+00:00,66.0,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,85.2,EXCEPTIONAL,-0.11,-0.06,-0.0141,1.1082,0.8729,[sl 3571.27],NORMAL_FLOW
1964651701,XAUGBP,BUY,2026-09-25T10:22:27+00:00,2026-09-25T11:33:27.289588+00:00,71.0,BREAKOUT_RETEST,TREND,71.9,STRONG,-4.47,-0.06,-1.0352,1.0,1.0352,[sl 3247.79],REVERSAL
