ticket,symbol,side,opened_utc,closed_utc,minutes,tactic,regime,score,tier,net_money,commission,realised_r,mfe_r,mae_r,exit_reason,final_state
1949768948,XAUJPY,BUY,2026-09-22T00:06:24+00:00,2026-09-22T00:15:18.133977+00:00,8.9,SESSION_EXPANSION,TREND,60.4,NORMAL,-3.69,-0.06,-1.0269,0.5047,1.0269,[sl 687350],PROVING
1949772376,XAUAUD,BUY,2026-09-22T00:07:50+00:00,2026-09-22T00:15:17.028113+00:00,7.4,SESSION_EXPANSION,TREND,66.9,NORMAL,-3.13,-0.06,-1.0549,0.4359,1.0604,[sl 6135.06],INITIAL
1950036998,EURNZD,BUY,2026-09-22T01:18:43+00:00,2026-09-22T01:27:27.742080+00:00,8.7,MOMENTUM_CONTINUATION,TREND,79.2,STRONG,-5.01,-0.66,-1.0625,0.8875,1.0625,[sl 2.01204],PROVING
1950177724,GBPAUD,BUY,2026-09-22T01:56:57+00:00,2026-09-22T02:06:19.401326+00:00,9.3,MOMENTUM_CONTINUATION,TREND,75.0,STRONG,-4.92,-0.56,-1.0513,0.0385,1.0513,[sl 1.88049],INITIAL
1950196226,EURAUD,BUY,2026-09-22T02:01:45+00:00,2026-09-22T02:08:28.444559+00:00,6.7,MOMENTUM_CONTINUATION,TREND,71.3,STRONG,-4.7,-0.6,-1.0145,0.1449,1.0145,[sl 1.61274],INITIAL
1950400859,EURNZD,SELL,2026-09-22T03:05:15+00:00,2026-09-22T03:09:39.703069+00:00,4.4,MOMENTUM_CONTINUATION,TREND,77.6,STRONG,-4.4,-0.34,-1.0064,0.0,1.0064,[sl 2.00261],INITIAL
1950406115,AUDNZD,SELL,2026-09-22T03:07:42+00:00,2026-09-22T03:21:00.165007+00:00,13.3,MOMENTUM_CONTINUATION,TREND,81.1,STRONG,-4.89,-0.56,-1.0412,0.2887,1.0412,[sl 1.24276],INITIAL
1950424706,NZDUSD,BUY,2026-09-22T03:14:27+00:00,2026-09-22T03:33:02.585106+00:00,18.6,BREAKOUT_RETEST,TREND,79.2,STRONG,4.9,-0.56,1.3774,1.3774,0.6604,[tp 0.57379],STRONG_FLOW
1950434472,NZDCHF,BUY,2026-09-22T03:18:07+00:00,2026-09-22T04:32:54.263008+00:00,74.8,MOMENTUM_CONTINUATION,TREND,79.9,STRONG,-0.11,-0.66,0.1351,1.2703,0.7568,[sl 0.47044],NORMAL_FLOW
1950535732,NZDJPY,BUY,2026-09-22T03:59:56+00:00,2026-09-22T05:50:05.395224+00:00,110.1,MOMENTUM_CONTINUATION,TREND,73.5,STRONG,1.56,-0.66,0.5493,0.7324,0.7887,[sl 90.391],DECAY
1950977012,DE40,SELL,2026-09-22T06:03:04+00:00,2026-09-22T06:35:16.927164+00:00,32.2,BREAKOUT_RETEST,HIGH_VOL,61.9,NORMAL,-4.07,0.0,-0.9443,1.6899,0.9443,[sl 25598.53],NORMAL_FLOW
1951180099,DE40,SELL,2026-09-22T07:07:41+00:00,2026-09-22T07:11:09.040084+00:00,3.4,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,63.9,NORMAL,2.74,0.0,0.8273,0.8532,0.5429,[tp 25540.64],PROVING
1951220435,DE40,SELL,2026-09-22T07:20:04+00:00,2026-09-22T07:28:47.866807+00:00,8.7,MOMENTUM_CONTINUATION,TREND,70.7,STRONG,-3.26,0.0,-0.9784,1.2873,0.9784,[sl 25512.42],STRONG_FLOW
1951314510,GBPUSD,SELL,2026-09-22T07:42:59+00:00,2026-09-22T07:56:36.820838+00:00,13.6,SESSION_EXPANSION,TREND,61.9,NORMAL,3.43,-0.6,0.9608,0.9804,0.2745,[tp 1.33601],PROVING
